Sale Date,Client Name,Address,City,State,Zip,Email,Sales Amount,Product Type,Status,Lead Source,Sales Person,Commission Pct.,Notes,Commission Amount,Sale Month
7/5/24,Marinna Adolfsen,3 Butternut Pass,Louisville,KY,40266,madolfsenix@typepad.com,"$9,405",Ultra-White Cardstock,Delivered,Yellow Pages,Dwight Schrute,10.00%,,$940.50,Jul 2024
7/6/24,Rosalyn Sapsford,75 Knutson Terrace,North Little Rock,AR,72199,rsapsford27@prlog.org,"$6,736",65lb cover stock,Delivered,Inbound Call,Dwight Schrute,10.00%,,$673.60,Jul 2024
7/6/24,Gottfried Jahnig,1 Pennsylvania Place,San Antonio,TX,78225,gjahnig5r@linkedin.com,"$9,237",Ultra-White Cardstock,Delivered,Yellow Pages,Dwight Schrute,10.00%,,$923.70,Jul 2024
7/6/24,Deonne Guiton,297 Everett Alley,Jacksonville,FL,32259,dguitond4@craigslist.org,"$3,381",Sticky Quips,Delivered,Client Referral,Dwight Schrute,10.00%,,$338.10,Jul 2024
7/6/24,Stacy Jostan,9 Kenwood Trail,Nashville,TN,37228,sjostandt@bizjournals.com,"$2,770",65lb cover stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$277.00,Jul 2024
7/6/24,Judith McKibbin,3494 Summer Ridge Street,Irvine,CA,92619,jmckibbinir@stumbleupon.com,"$3,857",65lb cover stock,Delivered,Cold Call,Dwight Schrute,10.00%,,$385.70,Jul 2024
7/6/24,Christalle Kalkhoven,99789 Ridgeway Point,Young America,MN,55564,ckalkhovenn8@slate.com,"$7,211",65lb cover stock,Delivered,Inbound Call,Jim Halpert,10.00%,,$721.10,Jul 2024
7/7/24,Rosetta Kerrod,2770 Doe Crossing Park,Brooklyn,NY,11210,rkerrodpm@china.com.cn,"$5,968",Ultra-White Cardstock,Delivered,Client Referral,Dwight Schrute,10.00%,,$596.80,Jul 2024
7/8/24,Pauline Muirhead,885 Lillian Point,Naples,FL,34102,pmuirhead1a@feedburner.com,"$8,355",38lb bond,Delivered,Client Referral,Jim Halpert,10.00%,,$835.50,Jul 2024
7/9/24,Consuela Muzzillo,2539 Butterfield Way,Detroit,MI,48275,cmuzzilloi@bigcartel.com,"$2,577",HQ 28lb bond,Delivered,Cold Call,Andy Bernard,10.00%,,$257.70,Jul 2024
7/9/24,Eloise Udell,93 Debra Pass,Minneapolis,MN,55407,eudell1v@intel.com,"$3,136",20lb letter stock,Delivered,Client Referral,Andy Bernard,10.00%,,$313.60,Jul 2024
7/9/24,Christy Ozelton,5012 Union Terrace,San Antonio,TX,78255,cozelton57@theguardian.com,"$8,752",20lb letter stock,Delivered,Client Referral,Dwight Schrute,10.00%,,$875.20,Jul 2024
7/10/24,Sheba Craigheid,3 Gerald Hill,Amarillo,TX,79165,scraigheid2k@yellowbook.com,"$5,790",HQ 28lb bond,Delivered,Cold Call,Jim Halpert,10.00%,,$579.00,Jul 2024
7/10/24,Jocko Gonzalez,5 Tennyson Trail,Portland,OR,97221,jgonzalezc4@cmu.edu,"$2,150",20lb letter stock,Delivered,Cold Call,Jim Halpert,10.00%,,$215.00,Jul 2024
7/10/24,Louise Vigneron,92 3rd Plaza,Philadelphia,PA,19191,lvigneronhl@abc.net.au,"$1,697",38lb bond,Delivered,Cold Call,Andy Bernard,10.00%,,$169.70,Jul 2024
7/10/24,Maximilianus Askaw,66 Novick Parkway,Oakland,CA,94627,maskawiz@blogtalkradio.com,"$1,731",38lb bond,Delivered,Yellow Pages,Stanley Hudson,10.00%,,$173.10,Jul 2024
7/10/24,Riobard Tyzack,39532 Bultman Hill,Syracuse,NY,13210,rtyzackli@illinois.edu,"$1,883",38lb bond,Delivered,Cold Call,Danny Cordray,10.00%,,$188.30,Jul 2024
